classe,giorno,numero_ora,materia,docente,aula
5C CD - CT,MERCOLEDI,6,Ora libera / Non assegnata,-,-
5C CD - CT,GIOVEDI,1,Diritto ed economia,-,115B
5C CD - CT,GIOVEDI,2,Elettrotecnica elettronica e automaz,-,R25
5C CD - CT,GIOVEDI,3,Elettrotecnica elettronica e automaz,-,R25
5C CD - CT,GIOVEDI,4,Matematica,-,R01
5C CD - CT,GIOVEDI,5,Ora libera / Non assegnata,-,-
5C CD - CT,GIOVEDI,6,Ora libera / Non assegnata,-,-
5C CD - CT,VENERDI,1,Matematica,-,R34
5C CD - CT,VENERDI,2,Matematica,-,R34
5C CD - CT,VENERDI,3,Ora libera / Non assegnata,-,-
5C CD - CT,VENERDI,4,Lingua Inglese,-,R30
5C CD - CT,VENERDI,5,Storia,-,R30
5C CD - CT,VENERDI,6,Storia,-,R30
5C-CD,LUNEDI,1,Scienze navig strut cond mezzo aereo,-,G13
5C-CD,LUNEDI,2,Scienze navig strut cond mezzo aereo,-,G13
5C-CD,LUNEDI,3,Meccanica e macchine,-,G13
5C-CD,LUNEDI,4,Meccanica e macchine,-,G13
5C-CD,LUNEDI,5,Ora libera / Non assegnata,-,-
5C-CD,LUNEDI,6,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,1,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,2,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,3,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,4,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,5,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,6,Ora libera / Non assegnata,-,-
5C-CD,MARTEDI,7,Scienze navig strut cond mezzo aereo,-,R36
5C-CD,MARTEDI,8,Scienze navig strut cond mezzo aereo,-,R36
5C-CD,MERCOLEDI,1,Ora libera / Non assegnata,-,-
5C-CD,MERCOLEDI,2,Ora libera / Non assegnata,-,-
5C-CD,MERCOLEDI,3,Scienze navig strut cond mezzo aereo,-,R32
5C-CD,MERCOLEDI,4,Ora libera / Non assegnata,-,-
5C-CD,MERCOLEDI,5,Meccanica e macchine,-,R37
5C-CD,MERCOLEDI,6,Meccanica e macchine,-,R37
5C-CD,GIOVEDI,1,Ora libera / Non assegnata,-,-
5C-CD,GIOVEDI,2,Ora libera / Non assegnata,-,-
5C-CD,GIOVEDI,3,Ora libera / Non assegnata,-,-
5C-CD,GIOVEDI,4,Ora libera / Non assegnata,-,-
5C-CD,GIOVEDI,5,Scienze navig strut cond mezzo aereo,-,R36
5C-CD,GIOVEDI,6,Scienze navig strut cond mezzo aereo,-,R36
5C-CD,VENERDI,1,Ora libera / Non assegnata,-,-
5C-CD,VENERDI,2,Ora libera / Non assegnata,-,-
5C-CD,VENERDI,3,Scienze navig strut cond mezzo aereo,-,R32
5C-CD,VENERDI,4,Ora libera / Non assegnata,-,-
5C-CD,VENERDI,5,Ora libera / Non assegnata,-,-
5C-CD,VENERDI,6,Ora libera / Non assegnata,-,-
5L,LUNEDI,1,Sistemi e Reti,Bottiglieri / Paesano,B26
5L,LUNEDI,2,Sistemi e Reti,Bottiglieri / Paesano,B26
5L,LUNEDI,3,Informatica,Hu / Zambon,B26
5L,LUNEDI,4,Informatica,Hu / Zambon,B26
5L,LUNEDI,5,Matematica,Vecchio,C01
5L,LUNEDI,6,Matematica,Vecchio,C01
5L,LUNEDI,7,Italiano,Giorgio,C01
5L,LUNEDI,8,Storia,Giorgio,C01
5L,MARTEDI,1,Sistemi e Reti,Bottiglieri,C10
5L,MARTEDI,2,Italiano,Giorgio,C10
5L,MARTEDI,3,Informatica,Hu / Zambon,B26
5L,MARTEDI,4,Informatica,Hu / Zambon,B26
5L,MARTEDI,5,Sistemi e Reti,Bottiglieri / Paesano,B26
5L,MARTEDI,6,TPSIT,Hu / Paesano,B26
5L,MERCOLEDI,1,Informatica,Hu,G01
5L,MERCOLEDI,2,Informatica,Hu,G01
5L,MERCOLEDI,3,TPSIT,Hu,G01
5L,MERCOLEDI,4,Inglese,Caristi,G01
5L,MERCOLEDI,5,Scienze Motorie,Daidone,G00
5L,MERCOLEDI,6,Scienze Motorie,Daidone,G00
5L,GIOVEDI,1,Inglese,Caristi,C05
5L,GIOVEDI,2,Italiano,Giorgio,C05
5L,GIOVEDI,3,Italiano,Giorgio,C05
5L,GIOVEDI,4,Matematica,Vecchio,C05
5L,GIOVEDI,5,TPSIT,Hu / Paesano,B26
5L,GIOVEDI,6,TPSIT,Hu / Paesano,B26
5L,VENERDI,1,Inglese,Caristi,C21
5L,VENERDI,2,GPOI,Perrone,C21
5L,VENERDI,3,Religione / Alternativa,D Amico / Salvatore,C21 / C01
5L,VENERDI,4,GPOI,Perrone,C21
5L,VENERDI,5,Storia,Giorgio,C21
5L,VENERDI,6,GPOI,Perrone / Zambon,B24
